Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-29,21:30:00,71.37,71.38,71.37,71.375,156835,0
2017-11-29,21:35:00,71.375,71.4,71.365,71.4,10923,0
2017-11-29,21:40:00,71.4,71.41,71.38,71.385,5937,0
2017-11-29,21:45:00,71.385,71.385,71.36,71.37,8250,0
2017-11-29,21:50:00,71.37,71.39,71.37,71.385,5563,0
2017-11-29,21:55:00,71.39,71.41,71.39,71.41,26970,0
2017-11-29,22:00:00,71.405,71.42,71.38,71.38,60765,0
2017-11-30,15:35:00,71.67,71.67,71.58,71.66,20562,0
2017-11-30,15:40:00,71.65,71.68,71.62,71.62,14728,0
2017-11-30,15:45:00,71.62,71.64,71.6,71.64,8000,0
2017-11-30,15:50:00,71.64,71.6401,71.6,71.605,9397,0
2017-11-30,15:55:00,71.59,71.59,71.535,71.56,10193,0
2017-11-30,16:00:00,71.57,71.615,71.56,71.6,19456,0
2017-11-30,16:05:00,71.6,71.63,71.59,71.63,26346,0
2017-11-30,16:10:00,71.63,71.65,71.63,71.645,1704,0
2017-11-30,16:15:00,71.65,71.7,71.65,71.68,8044,0
2017-11-30,16:20:00,71.6701,71.6701,71.625,71.6501,6054,0
2017-11-30,16:25:00,71.66,71.66,71.63,71.6301,3700,0
2017-11-30,16:30:00,71.64,71.65,71.6257,71.64,7989,0
2017-11-30,16:35:00,71.64,71.64,71.61,71.61,5612,0
2017-11-30,16:40:00,71.61,71.61,71.56,71.57,3908,0
2017-11-30,16:45:00,71.5714,71.6,71.5714,71.6,4580,0
2017-11-30,16:50:00,71.6142,71.63,71.61,71.63,10767,0
2017-11-30,16:55:00,71.625,71.625,71.6,71.61,19195,0
2017-11-30,17:00:00,71.62,71.69,71.62,71.68,7079,0
2017-11-30,17:05:00,71.6743,71.73,71.67,71.7,7437,0
2017-11-30,17:10:00,71.7,71.715,71.69,71.69,3300,0
2017-11-30,17:15:00,71.695,71.71,71.68,71.7,7515,0
2017-11-30,17:20:00,71.72,71.755,71.72,71.74,21838,0
2017-11-30,17:25:00,71.74,71.74,71.665,71.6861,17699,0
2017-11-30,17:30:00,71.67,71.67,71.605,71.62,7764,0
2017-11-30,17:35:00,71.61,71.635,71.5756,71.6,10414,0
2017-11-30,17:40:00,71.59,71.61,71.585,71.61,16429,0
2017-11-30,17:45:00,71.615,71.615,71.58,71.6,4200,0
2017-11-30,17:50:00,71.5901,71.595,71.57,71.595,4101,0
2017-11-30,17:55:00,71.6,71.6,71.5899,71.59,7959,0
2017-11-30,18:00:00,71.595,71.61,71.59,71.61,6306,0
2017-11-30,18:05:00,71.61,71.63,71.61,71.62,14000,0
2017-11-30,18:10:00,71.6134,71.66,71.6134,71.66,6186,0
2017-11-30,18:15:00,71.655,71.7,71.65,71.7,13845,0
2017-11-30,18:20:00,71.71,71.73,71.705,71.72,49998,0
